time,task_id,duration,cpu
0,12176267134-122,0,0.000000
1299639857707,6642611597-3,1290771666755,0.003521
0,12176267134-123,0,0.000000
0,12176267134-125,0,0.000000
0,12176267134-126,0,0.000000
0,12176267134-128,0,0.000000
0,12176267134-129,0,0.000000
0,12176267134-130,0,0.000000
0,12176267134-131,0,0.000000
1753239843822,6642611597-1,1714108652008,0.003521
1094223557425,786858-104,1094158385646,0.018463
0,12176267134-132,0,0.000000
0,12176267134-133,0,0.000000
2370071561412,6642611597-0,2338981220136,0.003521
0,12176267134-134,0,0.000000
0,12176267134-168,0,0.000000
0,12176267134-167,0,0.000000
1945573906921,786858-102,1945214698137,nan
0,12176267134-165,0,0.000000
0,12176267134-162,0,0.000000
0,12176267134-161,0,0.000000
0,12176267134-217,0,0.000000
0,12176267134-159,0,0.000000
0,12176267134-157,0,0.000000
0,12176267134-153,0,0.000000
0,12176267134-150,0,0.000000
0,12176267134-144,0,0.000000
0,12176267134-142,0,0.000000
0,12176267134-138,1846872602568,0.000000
0,12176267134-158,0,0.000000
0,12176267134-219,0,0.000000
0,12176267134-222,0,0.000000
0,12176267134-223,0,0.000000
1721366178644,12176267682-107,1720432951005,0.000000
1716485830369,12176267682-114,1715564481070,0.000000
1741944774282,12176267682-115,1741148077516,0.000000
1716133139768,12176267682-116,1715092197844,0.000000
1716393509919,12176267682-118,1715444939431,0.000000
1720860648707,12176267682-119,1720065060916,0.000000
1715651455847,12176267682-122,1714754578366,0.000000
2662936317677,12176267682-124,2661619761397,0.000000
1720656484192,12176267682-125,1719698742830,0.000000
1720839457724,12176267682-126,1719840074048,0.000000
2358039842053,6548249438-3,2236939327740,0.064819
1721141935319,12176267682-129,1720156289622,0.000000
1716114874124,12176267682-133,1715239290041,0.000000
2657321293800,12176267682-135,2655268331861,0.000000
1721190266608,12176267682-139,1720419656423,0.000000
1741981168313,12176267682-140,1741186831771,0.000000
1716458465572,12176267682-142,1715504366988,0.000000
1720839237180,12176267682-165,1720053126417,0.000000
1721018877605,12176267682-164,1720217650162,0.000000
1721286621905,12176267682-159,1720452067255,0.000000
1716200170264,12176267682-157,1715418985814,0.000000
1741865461518,12176267682-155,1741865355988,0.000000
1720600252211,12176267682-152,1719569383932,0.000000
0,201428-625,667715712292,0.040527
1720949937819,12176267682-151,1719995027779,0.000000
1721305919201,12176267682-147,1720467258727,0.000000
1721122520808,12176267682-146,1720308595837,0.000000
2588807541380,6548248993-0,2588461113054,0.005814
1321239842869,6548249438-0,1315825101450,0.064819
1741670909788,12176267682-145,1740906919423,0.000000
1721052239030,12176267682-143,1720013814470,0.000000
1715879573919,12176267682-149,1714874251940,0.000000
0,12176267134-116,0,0.000000
1716465281691,12176267682-106,1715687389807,0.000000
